nom;prenom;groupe;beneficiaire;adresse;descriptif;programme_budgetaire;montant;observations
ABAD;Damien;"Les Républicains";ACOMAR;OYONNAX;"Participation défilé et cérémonies 27 et 28 Juin 2015";178-03;2500.00;
ABAD;Damien;"Les Républicains";"Activités physiques du Troisième Age";OYONNAX;"Participation frais de sortie";157-05;1000.00;
ABAD;Damien;"Les Républicains";"ADAPEI de l'Ain - IME Les Sapins";OYONNAX;"Particiaption frais rénovation";157-01;1500.00;
ABAD;Damien;"Les Républicains";"Allymes en Musique";"AMBERIEU EN BUGEY";"Organisation concert";224-02;1000.00;
ABAD;Damien;"Les Républicains";"AM Kayak 01";OYONNAX;"Pratique du Canoë- Kayak";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Ambérieu Marathon";"CANTON Ambérieu";"17è Ronde des Grangeons";219-01;1500.00;
ABAD;Damien;"Les Républicains";"Ambérieu Rugby XV";"AMBERIEU EN BUGEY";"Achat jeu de maillot pour équipe 1";219-01;2000.00;
ABAD;Damien;"Les Républicains";AMBERIEU-EN-BUGEY;;"l'aménagement et la sécurisation de l'esplanade de la Maison des Jeunes et de la Culture";122-01;10000.00;
ABAD;Damien;"Les Républicains";"Ambition Cyclisme Femin'Ain";IZERNORE;Fonctionnement;219-01;1000.00;
ABAD;Damien;"Les Républicains";"Amicale d'Ardosset";CEYZERIEU;"Achat tentes pour manifestations";163-01;1000.00;
ABAD;Damien;"Les Républicains";ARANDAS;;"la dénomination et la numérotation des rues et la signalétique de l'auberge communale";122-01;5000.00;
ABAD;Damien;"Les Républicains";"Arc-en-Ciel d'Oyonnax";OYONNAX;"Participation ateliers";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Association Amicale des Chasseurs d'Arandas";Arandas;"Aménagement local";113-07;1500.00;
ABAD;Damien;"Les Républicains";"Association Conjoints survivants";;"Participation frais sorties et activités";304-17;1000.00;
ABAD;Damien;"Les Républicains";"Association de Sauvegarde de l'Eglise de Leyssard et de la Chapelle de Solomiat";LEYSSARD;"Participation frais rénovation";175-01;2000.00;
ABAD;Damien;"Les Républicains";"Association de Tir d'Amberieu en Bugey";"AMBERIEU EN BUGEY";"Aménagement stand de tir";219-01;1000.00;
ABAD;Damien;"Les Républicains";"Association Départementale des pupilles de l'enseignement public de l'Ain (ADPEP 01)";CONDAMINE;"Participation Projet de Classe IME Marcel Brun";230-01;1000.00;
ABAD;Damien;"Les Républicains";"Association des Amis de la Chapelle de La Cueille";PONCIN;"Restauration Eglise";175-01;1500.00;
ABAD;Damien;"Les Républicains";"Association des amis du Château des Allymes";"AMBERIEU EN BUGEY";"Création d'une salle d'arme";224-02;1500.00;
ABAD;Damien;"Les Républicains";"Association des Anciens Enfants de Troupes";;"Création d'une salle dédiée";169-03;1000.00;
ABAD;Damien;"Les Républicains";"Association des Délégués départementaux de l'Education Nationale";;"Congrès départemental";214-01;1000.00;
ABAD;Damien;"Les Républicains";"Association du Maquis de l'Ain et du Haut-Jura";Haut-Bugey;"Participation frais commémorations 2015";167-02;1000.00;
ABAD;Damien;"Les Républicains";"Association Entre Temps";LHUIS;"Accompagnement personnes agées";157-05;1500.00;
ABAD;Damien;"Les Républicains";"Association Le Réveil";"AMBERIEU EN BUGEY";"Anniversaire des 120 ans";219-01;1500.00;
ABAD;Damien;"Les Républicains";"Association Speedouille";AMBRONAY;"Initiation enfants caisse à savon";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Association Trait d'Union";"AMBERIEU EN BUGEY";"Organisation animations en faveur de personnes agées";157-05;1000.00;
ABAD;Damien;"Les Républicains";"Association USO Rugby";OYONNAX;Fonctionnement;219-01;3000.00;
ABAD;Damien;"Les Républicains";"Association Val d'Orphée";"MATAFELON GRANGES";"Participation frais festival";224-02;1000.00;
ABAD;Damien;"Les Républicains";BELMONT-LUTHEZIEU;;"la création d'une aire de jeux";122-01;3066.00;
ABAD;Damien;"Les Républicains";"Cap Emploi Ressources Handicaps";AIN;"Journée Prix de l innovation";102-02;1000.00;
ABAD;Damien;"Les Républicains";CECOF;"AMBERIEU EN BUGEY";"Aménagement internat";134-03;2500.00;
ABAD;Damien;"Les Républicains";"Centre Socio culturel de l'Albarine";"CANTON ST RAMBERT EN BUGEY";"Achat Structure home ball transportable";224-02;3000.00;
ABAD;Damien;"Les Républicains";"Cercle Amical de Songieu";Songieu;"Opération topographique";224-02;1500.00;
ABAD;Damien;"Les Républicains";CHATEAU-GAILLARD;;"la mise en place de tableaux blancs interactifs et d'un réseau IP à l'école";122-01;3300.00;
ABAD;Damien;"Les Républicains";"Club de l'Amitié de la Grenette";OYONNAX;"Participation frais aux activités";163-01;2000.00;
ABAD;Damien;"Les Républicains";"Club de pétanque de l'Albarine";"SAINT RAMBERT EN BUGEY";Fonctionnement;163-01;1000.00;
ABAD;Damien;"Les Républicains";"Club du 3ème Age - EHPAD Haut-Bugey";OYONNAX;"Participation frais aux activités";157-05;1000.00;
ABAD;Damien;"Les Républicains";"Club sportif du Valromey (foot)";"Canton Champagne";"Tournoi Allemagne";163-01;1500.00;
ABAD;Damien;"Les Républicains";"Comité des Fêtes de Saint Maurice de Remens";"Saint Maurice de Rémens";"Achat matériel";224-02;1000.00;
ABAD;Damien;"Les Républicains";"communauté de communes du Valromey";;"l'installation d'une cabine de projection dans la salle des fêtes de la Maison de Pays";122-01;1782.00;
ABAD;Damien;"Les Républicains";CONTREVOZ;;"la mise aux normes d'accessibilité du bâtiment mairie-école (1ère tranche)";122-01;7500.00;
ABAD;Damien;"Les Républicains";CORMARANCHE-EN-BUGEY;;"l'installation de radars pédagogiques route d'Hauteville dans la partie Mélogne";122-01;3000.00;
ABAD;Damien;"Les Républicains";"Fédération Française des Médaillés Jeunesse et Sports";AIN;"Publication et animation";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Foyer Fernand Verchere";OYONNAX;"Participation frais aux activités";157-05;1000.00;
ABAD;Damien;"Les Républicains";"France Bénévolat";Ambérieu;"Création antenne locale";163-01;1500.00;
ABAD;Damien;"Les Républicains";"Handicap Aventure";"HAUTEVILLE et CANTON";"Organisation randonnée pour personnes handicapées";157-01;1500.00;
ABAD;Damien;"Les Républicains";"Jeunes Pompiers Haut-Bugey";HAUT-BUGEY;"Particiaption frais";161-13;1500.00;
ABAD;Damien;"Les Républicains";"Kiwanis Club Oyonnax Nantua";OYONNAX;"8ème édition Semaine de Lecture";163-01;1000.00;
ABAD;Damien;"Les Républicains";"La vie avant tout - Maison de retraite du Haut-Bugey";OYONNAX;"Participation frais aux activités";157-05;1000.00;
ABAD;Damien;"Les Républicains";"LE PETIT-ABERGEMENT";;"la mise en place d'un abribus place du village";122-01;1100.00;
ABAD;Damien;"Les Républicains";"Le Préau Théatre et Ecriture";"AMBERIEU EN BUGEY";"23ème festival";224-02;1500.00;
ABAD;Damien;"Les Républicains";"Les Amis de la Tour";"SAINT-MARTIN-DU FRESNE";"Participation Journée 500 Ans Sébastien Castellioni";224-02;1500.00;
ABAD;Damien;"Les Républicains";"Les Amis de Saint Germain et son Château";"AMBERIEU EN BUGEY";"Réalisation 2 tables en bois-accueil";224-02;1000.00;
ABAD;Damien;"Les Républicains";"Les Chantres d'Ain";MARTIGNAT;"Pratique du Chant Chorale amateur chœur d'hommes et animation de manifestations  musicales";224-02;1000.00;
ABAD;Damien;"Les Républicains";"MARPA"" Les Jardins des Courtanes""";"SERRIERES DE BRIORD";"Achat poulailler";157-05;1000.00;
ABAD;Damien;"Les Républicains";OYO'CINE;OYONNAX;Fonctionnement;224-02;1000.00;
ABAD;Damien;"Les Républicains";"Passion FM";BELLIGNAT;Fonctionnement;224-02;1000.00;
ABAD;Damien;"Les Républicains";"Pétanque Nantuatienne";NANTUA;Fonctionnement;219-01;1000.00;
ABAD;Damien;"Les Républicains";"Plastics Vallée Football Club";OYONNAX;Fonctionnement;219-01;2000.00;
ABAD;Damien;"Les Républicains";"RAID FEMIN'AIN";PONCIN;"Participation Frais RAID 2015";219-01;1000.00;
ABAD;Damien;"Les Républicains";SAINT-BENOIT;;"la mise en accessibilité du bâtiment de la mairie";122-01;7225.00;
ABAD;Damien;"Les Républicains";SAINT-MAURICE-DE-REMENS;;"la réalisation d'une étude de faisabilité de la mise en accessibilité du bâtiment mairie-école";122-01;2200.00;
ABAD;Damien;"Les Républicains";"Société d'Emulation et d'Agriculture de l'Ain";BOURG-EN-BRESSE;"Particpation projet hommage au Député Pierre Goujon";224-02;1000.00;
ABAD;Damien;"Les Républicains";"Société Musicale La Lyre Indsutrielle";OYONNAX;Fonctionnement;224-02;1000.00;
ABAD;Damien;"Les Républicains";"Société Oyonnaxienne de Tir";SAMOGNAT;Fonctionnement;219-01;1500.00;
ABAD;Damien;"Les Républicains";"SOS J'ai trop Bu";BOLOZON;Fonctionnement;204-14;1000.00;
ABAD;Damien;"Les Républicains";"Sou des Ecoles";"MATAFELON GRANGES";"Participation frais sorties scolaires";140-01;1000.00;
ABAD;Damien;"Les Républicains";"Sou des Ecoles de Montagnieu";MONTAGNIEU;"Classe numérique équipement";140-01;1500.00;
ABAD;Damien;"Les Républicains";"Sou des Ecoles de St Jean le Vieux";"ST JEAN LE VIEUX";"Participation frais sorties scolaires";140-01;1000.00;
ABAD;Damien;"Les Républicains";"TEAM PAC'AIN";IZERNORE;"Participation Rallye des Gazelles";219-01;1000.00;
ABAD;Damien;"Les Républicains";"Terre de Liens";HOTONNES;Fonctionnement;113-01;1500.00;
ABAD;Damien;"Les Républicains";"Union fédérale des Anciens Combattants et Victimes de Guerre";;Fonctionnement;169-03;1000.00;
ABAD;Damien;"Les Républicains";"Valromey Cyclo";VALROMEY;Fonctionnement;219-01;1000.00;
ABAD;Damien;"Les Républicains";VIRIEU-LE-GRAND;;"la réalisation d'un diagnostic d'accessibilité des bâtiments communaux";122-01;2750.00;
ABEILLE;Laurence;Écologiste;"APEI Les Papillons Blancs de Vincennes";"41/43, rue Raymond du temple
BP 123
94304 Vincennes Cedex";"Transport entre SESSAD et école";157-04;3000.00;
ABEILLE;Laurence;Écologiste;"Association ""… et Compagnie""";"C/o Ecole du cirque Italo Medini
26, rue Gérard Philippe
94120 Fontenay-sous-Bois";"Création nouveau spectacle";224-02;2000.00;
ABEILLE;Laurence;Écologiste;"Association Chats des Rues";"1, rue Malot
93100 MONTREUIL";"Participation à l'acquisition d'un véhicule électrique";206-02;3000.00;
ABEILLE;Laurence;Écologiste;"Association Départementale de Protection Civile du Val-de-Marne";"7 allée de la caravelle
94490 Chennevières-sur- Marne";"Achat Véhicule Premiers Secours";161-13;5000.00;
ABEILLE;Laurence;Écologiste;"Association Donneurs de Sang Bénévoles de Fontenay-sous-Bois";"14, rue Ampère
94120 FONTENAY-SOUS-BOIS";"Amélioration accueil des donneurs et des enfants accompagnants";204-12;7000.00;
ABEILLE;Laurence;Écologiste;"Association Pour le Couple et l’Enfant";"23, rue Céline Robert
94300 VINCENNES";"Maintien et développement du service Enquêtes Sociales et activités afférentes ; au fonctionnement de l’APCE dans son ensemble";304-17;15000.00;
ABEILLE;Laurence;Écologiste;Calysto;"17, rue Saint Marc
75002 PARIS";"Actions d'information et de prévention en milieu scolaire face au développement des outils numériques";230-01;2500.00;
ABEILLE;Laurence;Écologiste;"Collectif de l'Appel de le Jeunesse";"Maison des Initiatives étudiantes
50 rue des Tournelles
75003 Paris";"Organisations de conférences pour lycéens et jeunes adultes sur sensibilisation aux pollutions diverses";113-07;4000.00;
ABEILLE;Laurence;Écologiste;"Conga Loca";"Maison du Citoyen et de la Vie Associative
16 Rue du Révérend Père Lucien Aubry
94120 Fontenay-sous-Bois";"Participation à un chantier solidaire à Cuba";209-02;1500.00;
ABEILLE;Laurence;Écologiste;"Enfant de Seloghin";"21, rue Mongenot
94160 Saint-Mandé";"Edition d'un ouvrage illustré ""Les mots du préau"" sur les contes africains, base d'échanges avec les élèves d'une école du Burkina Faso et les écoles de la circonscription";209-02;2200.00;
ABEILLE;Laurence;Écologiste;"France Palestine Solidarité";"Maison du citoyen et de la vie associative
16, rue du révérend père Lucien Aubry
94120 Fontenay-sous-Bois";"Soutenir le développement des exploitations de petite taille dans la vallée du Jourdain et promouvoir les coopératives agricoles";209-02;2000.00;
ABEILLE;Laurence;Écologiste;"Kimia and Co";"Maison du Citoyen et de la Vie Associative 16, rue du Révérend Père Lucien Aubry
94120 Fontenay-sous-Bois";"Organisation du Melting Crew 4.0 Award (spectacle avec danseurs, comédiens, chanteurs…)";224-02;3000.00;
ABEILLE;Laurence;Écologiste;"L'autre Cercle";"105 rue de l'Abbé Groult
CS 32584
75738 Paris cedex 15";"Organisation d'une exposition sur les discriminations dans le monde du travail et notamment sur orientation sexuelle et identité de genre";137-12;3000.00;
ABEILLE;Laurence;Écologiste;L'Espérance;"9/11 rue Pierre Dulac
94120 Fontenay-sous-Bois";"Organisation de l'évènement anniversaire de l'association";219-01;3500.00;
ABEILLE;Laurence;Écologiste;L214;"c/o Arsac, Lachaud Curmilhac
43300 Langeac";"Exposition et animations lors de la journée de l'animal";206-02;4000.00;
ABEILLE;Laurence;Écologiste;"La conquête du bio";"32 ter rue André Laurent
94120 Fontenay-sous-Bois";"Aménagement et équipement d'un magasin coopératif de produits biologiques";206-08;4000.00;
ABEILLE;Laurence;Écologiste;"La Lorraine de Saint-Mandé";"4, place Lucien Delahaye
94160 Saint-Mandé";"Achat nouveaux matériels (ballons, maillots, etc.) et organisation des déplacements";219-01;3000.00;
ABEILLE;Laurence;Écologiste;"La Nuit avec un Moustique";"MDCVA -
16 rue du Révérend Père Lucien Aubry
94120 Fontenay-sous-Bois";"Organisation de conférences et d'animations culturelles sur la question animale";113-07;3000.00;
ABEILLE;Laurence;Écologiste;"Le Capriccio Français";"8 ter avenue R.A. Vivien
94160 Saint-Mandé";"Créer et faire tourner des spectacles musicaux qui s'adressent au plus grand nombre";224-02;6000.00;
ABEILLE;Laurence;Écologiste;"Le cinéma s'expose";"Chez M. Dominique HUTEAU
31, avenue Paul Vaillant-Couturier
94400 Vitry-sur-Seine";"Réalisation d’une exposition ludique et pédagogiquesur l'histoire de l’invention du cinéma";224-02;5000.00;
ABEILLE;Laurence;Écologiste;"Les Jardins Suspendus";"18 rue de l'église
94300 VINCENNES";"Organisation de conférences et d'animations sur les modes d'agriculture durable";154-14;3000.00;
ABEILLE;Laurence;Écologiste;"Les Minibooks";"11, square Nungesser
94160 Saint-Mandé";"Déveolopper l'atelier d'écriture Minibooks par l'édition de mini-livres écrits et illustrés par les enfants de l'atelier";163-02;2000.00;
ABEILLE;Laurence;Écologiste;"Maison des Apprentissages Naturels";"31 bis rue de Rosny
94120 Fontenay-sous-Bois";"Projet co-participatif d'une école à classe unique : achat du, matériel pédagogique";163-02;2000.00;
ABEILLE;Laurence;Écologiste;Mutin'Arts;"51, Pierre Dulac
94120 Fontenay-sous-Bois";"Ecrire et mettre en scène un spectacle, sous forme de lecture publique, sur la condition des femmes";224-02;1000.00;
ABEILLE;Laurence;Écologiste;Perséphone;"16 rue Plisson
94160 Saint-Mandé";"Investissement pour matériel compagnie théâtrale";131-01;5800.00;
ABEILLE;Laurence;Écologiste;"Union Sportive Fontenaysienne";"40 bis rue de Rosny
94120 Fontenay Sous Bois";"Organisation du 50ème anniversaire de l'USF et organisation de journées de formation pour les dirigeants bénévoles";219-01;13500.00;
ABEILLE;Laurence;Écologiste;"Vincennes Est";"16, rue de la renardière
94300 Vincennes";"Diverses actions afin de faire vivre la démocratie locale et favoriser les actions de proximité";163-01;1000.00;
ABEILLE;Laurence;Écologiste;"Votre école chez vous";"29, rue Merlin
75011 PARIS";"Organisation de deux journées de formation pour équipe primaire";139-07;20000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";ABS;"Sada 97600 Mayotte";"Développement sportif";123-04;5000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";AMASE;"Sada 97600 Mayotte";"Action en faveur de l'environnement";113-07;5000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"AS Neige";"Chirongui 97600 Mayotte";"Développement sportif";123-04;10000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Association Philibert Electrcité Football Corporatif";"Chiconi 97600 Mayotte";"Action en faveur du sport corporatif";123-04;4000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Association Wema Watrou";"Dembéni 97600 Mayotte";Insertion;123-04;10000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";Chiratidjaz;"Bouéni 97600 Mayotte";"Promotion culturelle";123-04;4000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Etoile Hapandzo";"Ouangani 97600 Mayotte";"Développement sportif";123-04;8000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Fahamou maécha";"Sada 97600 Mayotte";"Action en faveur de l'accès à la santé";123-04;5000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";FAMM;"97600 Mayotte";"Encadrement et coordination des actions associatives mahoraises en métropole";123-04;5000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Fikira Ndjéma";"Bandrélé 97600 Mayotte";"Action en faveur de l'environnement et de la culture";123-04;3000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";FMAE;"97600 Mayotte";"Action en faveur de l'environnement";113-07;14000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Ligue de l'enseignement";"3, rue Recamier
75006 PARIS";"Soutien au tissu associatif";163-02;1000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Madrassati l'haïrya";"Chiconi 97600 Mayotte";"Promotion culturelle";123-04;4000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"MJC de Sada";"Sada 97600 Mayotte";"Echanges culturels";123-04;10000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Moultaka Nour";"Chirongui 97600 Mayotte";"Insertion et médiation sociale";123-04;10000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";Nouroulhouda;"Tsoundzou 97600 Mayotte";"Action culturelle";123-04;3000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Ouzougouha maecha";"Bandrélé 97600 Mayotte";"Action en faveur de l'éducation et de l'insertion des jeunes";123-04;3000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";SAPES;"Sada 97600 Mayotte";"Action en faveur de l'éducation et de la jeunesse";123-04;4000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Tchanga Sport et Culture (Football)";"Mtsangamouji 97600 Mayotte";"Développement sportif";123-04;6000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";"Tchanga Sport et Culture (Handball)";"Mtsangamouji 97600 Mayotte";"Développement sportif";123-04;6000.00;
ABOUBACAR;Ibrahim;"Socialiste, républicain et citoyen";UNEF;"127 rue de l’Ourcq
75019 PARIS";"Action en faveur des étudiants de Mayotte et d'Outremer";123-04;10000.00;
ABOUD;Élie;"Les Républicains";"2 temps, 3 mouvements";Sérignan;"Création section danse Jazz-Ballet";224-02;1000.00;
ABOUD;Élie;"Les Républicains";"Académie Musike Association";Cazoules-les-Béziers;Fonctionnement;224-02;4000.00;
ABOUD;Élie;"Les Républicains";"Amicale de Béziers pour le don
de sang bénévole";Béziers;Fonctionnement;204-17;1000.00;
ABOUD;Élie;"Les Républicains";"Amicale des Aveyronnais";Béziers;Fonctionnement;163-01;1000.00;
ABOUD;Élie;"Les Républicains";"Amicale des parents d'élèves de Boujan";"Boujan sur Cibron";Fonctionnement;214-01;1000.00;
ABOUD;Élie;"Les Républicains";"Amicale des parents d'élèves de Lieuran les Béziers";Lieuran-les-Béziers;Fonctionnement;214-01;1000.00;
ABOUD;Élie;"Les Républicains";"Amicale modéliste naval sérignagnais";Sérignan;"Construction exposition";224-02;1000.00;
ABOUD;Élie;"Les Républicains";"Artistes Complément'air";Bassan;"Exposition d'artistes / Ouverture galerie";224-02;1000.00;
ABOUD;Élie;"Les Républicains";"ASP Béziers Hérault";Béziers;Fonctionnement;204-11;1000.00;
ABOUD;Élie;"Les Républicains";"Assocation des Travailleurs retraités
de Sérignan";Sérignan;Fonctionnement;157-05;1000.00;
ABOUD;Élie;"Les Républicains";"Association des accidentés de la vie";Béziers;Fonctionnement;157-01;1000.00;
ABOUD;Élie;"Les Républicains";"Association des commerçants du centre ville Biterrois";Béziers;Fonctionnement;134-02;1000.00;
ABOUD;Élie;"Les Républicains";"Association des étudiants et anciens
étudiants du centre Duguesclin";Béziers;"Organisation manifestations";163-01;1000.00;
ABOUD;Élie;"Les Républicains";"Association des Jeunes des Arènes (AJA)";Béziers;"Promouvoir lien social sur le
quartier des Arènes";163-04;1000.00;
ABOUD;Élie;"Les Républicains";"Association des parents d'élèves du Pic La Salle";Béziers;Fonctionnement;214-01;2000.00;
ABOUD;Élie;"Les Républicains";"Association des parents d'élèves Groupe scolaire Jean Moulion";Lignay-sur-Orb;Fonctionnement;214-01;2500.00;
ABOUD;Élie;"Les Républicains";"Association des quartiers Irauget,Graugette, Dullague, Millon";Béziers;Fonctionnement;147-01;1000.00;
ABOUD;Élie;"Les Républicains";"Association des vieux travailleurs";Sauvian;Fonctionnement;157-05;1000.00;
ABOUD;Élie;"Les Républicains";"Association nationale des cheminots anciens combattants";Béziers;Fonctionnement;169-03;1000.00;
ABOUD;Élie;"Les Républicains";"Association sportive Béziers  Hérault (ASBH)";Béziers;Fonctionnement;219-01;20000.00;
ABOUD;Élie;"Les Républicains";"Basket Sauvian/Serignan";;Fonctionnement;219-01;1000.00;
ABOUD;Élie;"Les Républicains";"Béziers Environnement";Béziers;Fonctionnement;113-01;1000.00;
ABOUD;Élie;"Les Républicains";"Boxing Club de Sérignan";Sérignan;Fonctionnement;219-01;1000.00;
ABOUD;Élie;"Les Républicains";"Centre D'études Des Indépendants du Voyage( CEDIV)";Béziers;Fonctionnement;134-02;3000.00;
ABOUD;Élie;"Les Républicains";"Club de Gymnastique de Sérignan";Sérignan;Fonctionnement;219-01;1000.00;
ABOUD;Élie;"Les Républicains";COLOMBIERS;;"l'aménagement d'un city park et d'une aire de jeux";122-01;17000.00;
ABOUD;Élie;"Les Républicains";"Comité pour le développement de l'économie régionale Languedoc-Roussilon (CODIMER)";Montpellier;Fonctionnement;134-02;1000.00;
ABOUD;Élie;"Les Républicains";Elementas;Béziers;Fonctionnement;177-11;1000.00;
ABOUD;Élie;"Les Républicains";"Entente Vendres-Lespignan Hérault XV";Lespignan;Fonctionnement;219-01;12000.00;
ABOUD;Élie;"Les Républicains";"Fédération des Ciné-Clubs de la Méditerrannée";Béziers;Fonctionnement;224-02;1000.00;
ABOUD;Élie;"Les Républicains";"Fête de la Chasse du Grand Biterrois";"Boujan sur Libron";Fonctionnement;113-07;1000.00;
ABOUD;Élie;"Les Républicains";"Football Club Boujan Méditerranée";"Boujan sur Libron";Fonctionnement;219-01;1500.00;
ABOUD;Élie;"Les Républicains";"Foyer rural de Sauvian";Sauvian;Fonctionnement;230-01;1000.00;
ABOUD;Élie;"Les Républicains";"Jeune chambre économique de Béziers";Béziers;Fonctionnement;134-03;1000.00;
ABOUD;Élie;"Les Républicains";L'Afiction;Béziers;Fonctionnement;224-02;1000.00;
ABOUD;Élie;"Les Républicains";"La France à l'unisson";Beziers;Fonctionnement;224-02;5000.00;
ABOUD;Élie;"Les Républicains";"La récré des Ainés";Lieuran-les-Béziers;Fonctionnement;157-05;1000.00;
ABOUD;Élie;"Les Républicains";"Le Carreau";Sérignan;Fonctionnement;219-01;1000.00;
ABOUD;Élie;"Les Républicains";"Le lien associatif";;Fonctionnement;304-17;1000.00;
ABOUD;Élie;"Les Républicains";"Les Amis de Saint-Aphrodise";;Fonctionnement;224-02;1000.00;
ABOUD;Élie;"Les Républicains";"Les Clionautes";Cazoules-les-Béziers;Fonctionnement;163-01;1000.00;
ABOUD;Élie;"Les Républicains";"Les couleurs du passé";"Villeneuve les Béziers";Fonctionnement;224-02;5000.00;
ABOUD;Élie;"Les Républicains";"Les Pétanqueurs Sauviannais";Sauvian;Fonctionnement;163-01;1000.00;
ABOUD;Élie;"Les Républicains";"Les Roumegaïres";Sauvian;"Organisation fêtes";163-01;1000.00;
ABOUD;Élie;"Les Républicains";LESPIGNAN;;"la création de deux logements locatifs au premier étage de l'immeuble de la Poste";122-01;10000.00;
ABOUD;Élie;"Les Républicains";"Maison des Jeunes et de la Culture de Sérignan";Sérignan;Fonctionnement;163-04;1000.00;
ABOUD;Élie;"Les Républicains";"Maison des Jeunes et de la Culture Trincavel";Béziers;Fonctionnement;163-04;1000.00;
ABOUD;Élie;"Les Républicains";"Professeurs de langues vivantes du Lycée Henri IV de Béziers";Béziers;"Organisation et financement séjours linguistiques";230-01;1000.00;
ABOUD;Élie;"Les Républicains";"Rugby Club Plages d'Orb";Valras-Plage;Fonctionnement;219-01;1000.00;
ABOUD;Élie;"Les Républicains";"Rugby Corneilhan XV";Corneilhan;Fonctionnement;219-01;1000.00;
ABOUD;Élie;"Les Républicains";"Société des Beaux Arts de Béziers";Béziers;Fonctionnement;224-02;1000.00;
ABOUD;Élie;"Les Républicains";"Sol y somba";Béziers;Fonctionnement;224-02;1000.00;
ABOUD;Élie;"Les Républicains";"Syndicat d'initiative de Maraussan";Maraussan;Fonctionnement;134-21;1000.00;
ABOUD;Élie;"Les Républicains";"Tennis Club de Bassan";Bassan;"Organisation épreuves";219-01;7000.00;
ABOUD;Élie;"Les Républicains";"Union départementale du personnel en retraite de la gendarmerie";"Castelnau le Lez";Fonctionnement;152-01;1000.00;
ABOUD;Élie;"Les Républicains";"Vivre tous ensemble";Béziers;Fonctionnement;304-17;1000.00;
ACCOYER;Bernard;"Les Républicains";"AS Judo Pays de Savoie";ALBENS;Fonctionnement;219-01;5000.00;
ACCOYER;Bernard;"Les Républicains";BLOYE;;"la création de sous-faces façon caisson en périphérie de la toiture de l'église";122-01;6000.00;
ACCOYER;Bernard;"Les Républicains";BLUFFY;;"la sécurisation de l'alimentation en eau potable de la zone artisanale par le bouclage du Col de Bluffy";122-01;15000.00;
ACCOYER;Bernard;"Les Républicains";"Club pour Tous";"LA BALME DE SILLINGY";Fonctionnement;224-02;1500.00;
ACCOYER;Bernard;"Les Républicains";ETERCY;;"la construction d'une classe maternelle supplémentaire, l'extension de la salle de repos et l'aménagement de deux classes élémentaires";122-01;20000.00;
ACCOYER;Bernard;"Les Républicains";"FCSR Rugby";RUMILLY;Fonctionnement;219-01;2500.00;
ACCOYER;Bernard;"Les Républicains";"Football Club Rumilly";SALES;Fonctionnement;219-01;2000.00;
ACCOYER;Bernard;"Les Républicains";"Jeunes Agriculteurs Haute-Savoie";ANNECY;Fonctionnement;154-13;2500.00;
ACCOYER;Bernard;"Les Républicains";MARCELLAZ-ALBANAIS;;"la rénovation de la salle de classe n°2 de l'école élémentaire";122-01;5000.00;
ACCOYER;Bernard;"Les Républicains";MESIGNY;;"la construction d'un local technique";122-01;25000.00;
ACCOYER;Bernard;"Les Républicains";"OGEC - Ecole la Pommeraie Les Sapons";EPAGNY;"Mise aux normes accessibilité des locaux";139-09;5000.00;
ACCOYER;Bernard;"Les Républicains";SALLENOVES;;"la restauration de la fresque et de la voûte de l'église";122-01;10000.00;
ACCOYER;Bernard;"Les Républicains";"syndicat mixte interdépartemental de traitement des ordures de l'Albanais";;"la réalisation de travaux d'aménagement du site du centre technique du syndicat";122-01;20000.00;
ACCOYER;Bernard;"Les Républicains";"USAV Football";MEYTHET;Fonctionnement;219-01;2500.00;
