ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
1;100% sport et loisirs;Fonctionnement;;219-01;1000;;267429;;;;;;;;;;;;;;;;;;;;;
2;1496° Section des Médaillés Militaires;Fonctionnement;;169-03;1000;;267512;;;;;;;;;;;;;;;;;;;;;
3;1686° Section des Médaillés Militaires Meyenheim quartier Dio;Fonctionnement;;169-03;1000;;267013;;;;;;;;;;;;;;;;;;;;;
4;2000 Danses;Aide à la diffusion culturelle intergénération autour de la danse à l'échelle intercommunale;Cour de la Mairie - 86700 COUHE;224-02;2000;;336439;;;;;;;;;;;;;;;;;;;;;
5;35th  « Santa Fe » Division in Normandy;Fonctionnement;;169-03;1500;;266797;;;;;;;;;;;;;;;;;;;;;
6;37è parallèle;Matériel studios musique, salles de danse et d'atelier;Les Grandes Brosses - 9 Rue de la bonne nouvelle - 37390 METTRAY;224-02;14000;;332305;;;;;;;;;;;;;;;;;;;;;
7;4Chem1 Evolution;Soutien scolaire de jeunes en difficulté;54, avenue Edouard Vaillant  - 93500 PANTIN;230-06;4000;;1579;;;;;;;;;;;;;;;;;;;;;
8;4H Tarare;Fonctionnement;;219-01;1000;;334843;;;;;;;;;;;;;;;;;;;;;
9;6ème continent;Fonctionnement;51 rue Saint Michel  - 69007 Lyon;224-02;5000;;334768;;;;;;;;;;;;;;;;;;;;;
10;8 POOL PASSION ARDENNES;Fonctionnement;;219-01;1000;;2952;;;;;;;;;;;;;;;;;;;;;
11;A C B;Fonctionnement;;219-01;2000;;1029;;;;;;;;;;;;;;;;;;;;;
12;A chacun ses vacances;Fonctionnement;;157-01;3000;;1310;;;;;;;;;;;;;;;;;;;;;
13;A P E L   Ecole Saint Joseph;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
14;A petits pas;Fonctionnement;;140-01;2000;;267246;;;;;;;;;;;;;;;;;;;;;
15;A Portée de Voix;Fonctionnement;;224-02;1000;;331567;;;;;;;;;;;;;;;;;;;;;
16;A portée de Voix;Fonctionnement;;224-02;3000;;346876;;;;;;;;;;;;;;;;;;;;;
17;A Travers Chant;Fonctionnement;;224-02;1000;;334654;;;;;;;;;;;;;;;;;;;;;
18;A votre Service;Fonctionnement;;106-03;1000;;1857;;;;;;;;;;;;;;;;;;;;;
19;A.A.S.C.O.;Fonctionnement;107 avenue Gabriel Péri - 93400 Saint-Ouen;;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
20;A.A.S.D.A.F;Fonctionnement;;214-01;2000;;1459;;;;;;;;;;;;;;;;;;;;;
21;A.B.C. Danse;Fonctionnement;;219-01;1000;;1031;;;;;;;;;;;;;;;;;;;;;
22;A.C. Saint-Robert- club de football N° d'affiliation FFF: 518964 ;Dépenses équipements sportifs;Saint Robert      97123 Baillif;219-01;5000;;643145;;;;;;;;;;;;;;;;;;;;;
24;A.C.C.A Barriac les Bosquets;Fonctionnement;;113-01;2000;;2084;;;;;;;;;;;;;;;;;;;;;
25;A.C.C.A Meallet;Fonctionnement;;113-01;3000;;2084;;;;;;;;;;;;;;;;;;;;;
26;A.C.C.A;Fonctionnement;;113-07;5000;;2084;;;;;;;;;;;;;;;;;;;;;
28;A.C.C.A de Cette-Eygun;Fonctionnement ;Mairie - 64490 CETTE-EYGUN;113-07;2000;;1838;;;;;;;;;;;;;;;;;;;;;
29;A.C.C.C;Fonctionnement;;224-02;3000;;267260;;;;;;;;;;;;;;;;;;;;;
30;A.C.E.L des Ternes;Fonctionnement;;230-01;4000;;1020;;;;;;;;;;;;;;;;;;;;;
31;A.D.E.T.H.E. Services;Fonctionnement;;157-01;1000;;267886;;;;;;;;;;;;;;;;;;;;;
32;A.D.P.S.P;Fonctionnement;;102-02;1000;;334149;;;;;;;;;;;;;;;;;;;;;
33;A.F.T.C;Fonctionnement;;157-01;1000;;267551;;;;;;;;;;;;;;;;;;;;;
34;A.F.T.C de Franche-Comté;Fonctionnement;;157-01;1000;;267204;;;;;;;;;;;;;;;;;;;;;
35;A.I.R.S.;Fonctionnement;c/o Raphaël Goma - 67, rue Félix Merlin - 93800 Epinay-sur-Seine;;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
36;A.J.P;Fonctionnement;;224-02;1500;;856;;;;;;;;;;;;;;;;;;;;;
37;A.L.C - C.A.L.C;Fonctionnement;;219-01;2500;;267762;;;;;;;;;;;;;;;;;;;;;
38;A.N.A.C.R  Cluses;Fonctionnement;;169-03;1000;;608851;;;;;;;;;;;;;;;;;;;;;
39;A.P.A.F.E.D Association pour l'Accueil des Femmes en Difficulté;Fonctionnement;51 rue de la Porte Dijeaux  - 33OOO BORDEAUX;137-12;40000;;1789;;;;;;;;;;;;;;;;;;;;;
40;A.P.E Entraide de la Figonne;Fonctionnement;;106-03;2000;;330684;;;;;;;;;;;;;;;;;;;;;
41;A.P.E La Pradélie;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
42;A.P.E.E.E.;Fonctionnement;92 rue du Docteur Bauer - 93400 Saint-Ouen;;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
43;A.P.E.L de l'école Saint-Joseph;Fonctionnement;;214-01;2500;;267762;;;;;;;;;;;;;;;;;;;;;
44;A.P.E.L du Saint Affricain;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
45;A.P.E.L Marie Immaculée;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
46;A.P.E.M.R.D  - ;Fonctionnement;;106-03;1000;;267762;;;;;;;;;;;;;;;;;;;;;
47;A.P.F ;Fonctionnement;;157-01;1500;;1483;;;;;;;;;;;;;;;;;;;;;
48;A.P.I.J;Fonctionnement;;224-02;3000;;2664;;;;;;;;;;;;;;;;;;;;;
49;A.P.L.S;Fonctionnement;;204-11;2000;;1459;;;;;;;;;;;;;;;;;;;;;
50;A.P.P.V.P.A;Fonctionnement;;224-02;3000;;609365;;;;;;;;;;;;;;;;;;;;;
51;A.P.R.E.;Fonctionnement;;175-01;1000;;267886;;;;;;;;;;;;;;;;;;;;;
52;A.R.B.R.E. (Association de Restinclières et Beaulieu pour le Respect de l'Environnement);Fonctionnement;2 rue des Chênes - 34160 BEAULIEU;113-01;1000;;606573;;;;;;;;;;;;;;;;;;;;;
53;A.R.E.J.;Fonctionnement;;175-01;1000;;267886;;;;;;;;;;;;;;;;;;;;;
54;A.R.T.S Paillettes 2000;Fonctionnement;;131-01;1000;;1574;;;;;;;;;;;;;;;;;;;;;
55;A.S Neunkirch;Fonctionnement;;219-01;3000;;267057;;;;;;;;;;;;;;;;;;;;;
56;A.S. Collège Sisley;Fonctionnement;c/o M. Joachim Guechoud - 60 quai de la Marine - 93450 L'Île-Saint-Denis;;5000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
57;A.S. La Madeleine Football;Fonctionnement;;219-01;23000;;267728;;;;;;;;;;;;;;;;;;;;;
58;A.S.A.L;Fonctionnement;;219-01;2000;;267204;;;;;;;;;;;;;;;;;;;;;
59;A.S.I.A.;Réhabilitation des vestiaires du club;BP 1128  - 97500 SAINT-PIERRE ET MIQUELON;219-01;30000;;337633;;;;;;;;;;;;;;;;;;;;;
60;A.S.M.;Aménagement de structures d'accueil pour les sportifs;BP 8646  - 97500 MIQUELON;219-01;45000;;337633;;;;;;;;;;;;;;;;;;;;;
61;A.S.P Ensemble;Fonctionnement;;204-11;1500;;856;;;;;;;;;;;;;;;;;;;;;
62;A.T.O.S;Fonctionnement;;219-01;1000;;267499;;;;;;;;;;;;;;;;;;;;;
63;A.V.B.;Développement des activités de formation;;163-01;10000;;609691;;;;;;;;;;;;;;;;;;;;;
64;AAPEL Autonomie;Fonctionnement ;16340 L'Isle d'Espagnac;204-11;6000;;330981;;;;;;;;;;;;;;;;;;;;;
65;AAPMA La truite du Val d'Amour;Fonctionnement;;205-06;1000;;267204;;;;;;;;;;;;;;;;;;;;;
66;AAPPMA;Fonctionnement;;205-06;1000;;2952;;;;;;;;;;;;;;;;;;;;;
67;AAPPMA de Dinsheim-sur-Bruche;Fonctionnement;;219-01;1000;;266774;;;;;;;;;;;;;;;;;;;;;
68;AAPPMA La carpe du Valois;Fonctionnement;;205-06;1000;;1031;;;;;;;;;;;;;;;;;;;;;
69;AAPPMA La Truite du Lignon;Élagage au bord des rivières;M. Olivier BALME - Bel Air - 1, chemin du Plateau - 43400 - Le Chambon sur Lignon;205-06;1000;;267285;;;;;;;;;;;;;;;;;;;;;
70;AAVIV;Fonctionnement;;101-03;5000;;267378;;;;;;;;;;;;;;;;;;;;;
71;ABA Attitude;Fonctionnement;;157-01;1000;;606478;;;;;;;;;;;;;;;;;;;;;
72;ABC – Association Becquart - Canon d'Or;Fonctionnement;;134-02;1000;;1001;;;;;;;;;;;;;;;;;;;;;
73;ABC Bibliothèque;Fonctionnement;;224-02;2000;;606888;;;;;;;;;;;;;;;;;;;;;
74;ABC InterSports;Fonctionnement;;219-01;3000;;610830;;;;;;;;;;;;;;;;;;;;;
75;ABSM;Fonctionnement;;219-01;6000;;610830;;;;;;;;;;;;;;;;;;;;;
76;ACAC;Fonctionnement;;134-02;1500;;609365;;;;;;;;;;;;;;;;;;;;;
77;Académie d'Aïkido d'Echalas;Fonctionnement;;219-01;1000;;267591;;;;;;;;;;;;;;;;;;;;;
78;Académie de Boxe Rachid El Hadak;Aménagement de la salle et organisation de combats et de stages pour les jeunes de l'académie;7, rue Colette 42100 SAINT-ETIENNE;219-01;10000;;332614;;;;;;;;;;;;;;;;;;;;;
79;ACAJA;Fonctionnement;;134-02;8000;;1020;;;;;;;;;;;;;;;;;;;;;
80;ACAPLM;Fonctionnement;;134-02;2000;;330684;;;;;;;;;;;;;;;;;;;;;
81;ACB Escrime, Présidente Mme Mauricette Lefevre;Dépenses de fonctionnement; 93000 Bobigny;;4000;;268019;;;;;;;;;;;;;;;;;;;;;
82;ACCA;Fonctionnement;;113-07;1000;;2345;;;;;;;;;;;;;;;;;;;;;
83;ACCA;Fonctionnement;;113-07;1000;;344492;;;;;;;;;;;;;;;;;;;;;
84;ACCA Boisset Saint Priest;Fonctionnement;;113-07;500;;267429;;;;;;;;;;;;;;;;;;;;;
85;ACCA de Beaulieu;Aménagement local chasseurs;M. Serge FAYOLLE - Arthus - 43800 - Beaulieu;113-07;1000;;267285;;;;;;;;;;;;;;;;;;;;;
86;ACCA de Chambles;Fonctionnement;;113-07;500;;267429;;;;;;;;;;;;;;;;;;;;;
87;ACCA de Fontenelle;Fonctionnement;;113-07;1500;;267327;;;;;;;;;;;;;;;;;;;;;
88;ACCA du Chambon;Aménagement local chasseurs;M. Robert NOUVET - Chemin des Airelles - 43400 - Le Chambon sur Lignon;113-07;1000;;267285;;;;;;;;;;;;;;;;;;;;;
89;ACCA Menton;Fonctionnement;;113-07;1000;;1574;;;;;;;;;;;;;;;;;;;;;
90;ACCA St Sauveur;Aide à la réhabilitation d'un local;Mr Serge Raynaud Président de l’ACCA - Desteau 27 rte Pin Franc  - 33250 St Sauveur - ;113-07;2500;;331973;;;;;;;;;;;;;;;;;;;;;
91;ACCA Tarentaise;Fonctionnement;;113-07;500;;267429;;;;;;;;;;;;;;;;;;;;;
92;ACCA VINCA;Achat débroussalleuse ;27, bis Route de Rigarda 66320 VINCA;113-07;3000;;608328;;;;;;;;;;;;;;;;;;;;;
93;ACCA Yssingeaux;Fête de la chasse et du terroir;M. Michel SARDA - La Croix de Montchaud - 43200 - YSSINGEAUX;113-07;1000;;267285;;;;;;;;;;;;;;;;;;;;;
94;ACCES;Fonctionnement;;224-02;2000;;1459;;;;;;;;;;;;;;;;;;;;;
95;Acceuil culture et patrimoine;Fonctionnement;;224-02;1000;;267429;;;;;;;;;;;;;;;;;;;;;
96;Accompagnement de chercheurs d'emplois (ACE);Fonctionnement;;102-01;1000;;1020;;;;;;;;;;;;;;;;;;;;;
97;Accompagnement Migrant Intégration;Aide à l'intégration des personnes étrangères : hébergement, achat de denrées, frais de déplacement permettant l'accès à des emplois dans le domaine du maraîchage.;;177-11;5000;;332747;;;;;;;;;;;;;;;;;;;;;
98;Accords;Résidence Création Cyrano de Bergerac avec Cie de Paris sur Camboet Louhossoa;Didier Rey Président - ACCORDS square Albeniz 64250 Cambo les bains ;224-02;2000;;608276;;;;;;;;;;;;;;;;;;;;;
99;Accueil 15;Accueil de jour des SDF - réfection des locaux;M. Francis HOPPENOT - 48, rue des Entrepreneurs - 75015 - Paris;177-11;2000;;230329;;;;;;;;;;;;;;;;;;;;;
100;Accueil des Charmilles;Fonctionnement;71000 Mâcon;204-11;10000;;608672;;;;;;;;;;;;;;;;;;;;;
101;Accueil des villes française Paris 17+8+9;Fonctionnement;;224-02;4000;;1020;;;;;;;;;;;;;;;;;;;;;
102;Accueil des villes françaises;Achat de matériel informatique;Mme BOURDIAUX - 55, rue Desnouettes - 75015 - Paris;177-11;2000;;230329;;;;;;;;;;;;;;;;;;;;;
103;Accueil femme solidarités;Dépenses de fonctionnement; 312 06000 NICE;;1000;;2667;;;;;;;;;;;;;;;;;;;;;
104;Accueil Femmes Solidarité;Fonctionnement;;106-03;2500;;330240;;;;;;;;;;;;;;;;;;;;;
105;ACE;Fonctionnement;;102-02;2000;;609365;;;;;;;;;;;;;;;;;;;;;
106;ACEL Notre Dame de Bonne Nouvelle;Fonctionnement;;163-01;1500;;1931;;;;;;;;;;;;;;;;;;;;;
107;ACEPP 38-73;Développer toutes actions en faveur de l'accueil des jeunes enfants;132, impasse des Hortensias  - 38430 Moirans;106-01;3000;;606910;;;;;;;;;;;;;;;;;;;;;
108;ACEPP 38-73 Association des Collectifs Enfants Parents Isère-Savoie;Subvention de fonctionnement;132 impasse des Hortensias  - 38430 Saint-Jean-de-Moirans;163-01;3000;;332384;;;;;;;;;;;;;;;;;;;;;
109;ACE'TELLE;Fonctionnement;;219-01;1000;;267327;;;;;;;;;;;;;;;;;;;;;
110;ACEVE;Fonctionnement;;230-01;2000;;267378;;;;;;;;;;;;;;;;;;;;;
111;ACJBB;Fonctionnement;;224-02;19000;;346876;;;;;;;;;;;;;;;;;;;;;
112;ACL de Zimmersheim;Fonctionnement;Mme Christiane STUDTER, Présidente - 5, rue de l'Ecole  - 68440 ZIMMERSHEIM;224-02;1000;;267227;;;;;;;;;;;;;;;;;;;;;
113;ACLER;Fonctionnement;;224-02;2000;;609365;;;;;;;;;;;;;;;;;;;;;
114;ACMRB;Soutien scolaire;;224-02;5000;;609292;;;;;;;;;;;;;;;;;;;;;
115;ACO Firminy;Fonctionnement;;219-01;1000;;267429;;;;;;;;;;;;;;;;;;;;;
116;ACPG-CATM et Veuves;Fonctionnement;;169-03;1000;;1031;;;;;;;;;;;;;;;;;;;;;
117;ACPIIE;Produire, diffuser et soutenir une information originale, libre, complète, indépendante et impartiale dans le domaine de l'énergie;75013 Paris;217-01;4000;;609016;;;;;;;;;;;;;;;;;;;;;
118;ACPPC Prouvençau de Cavaillon;Fonctionnement;;175-07;2000;;336316;;;;;;;;;;;;;;;;;;;;;
119;ACS gym;fonctionnement;;219-01;1000;;342415;;;;;;;;;;;;;;;;;;;;;
120;ACS Herserange;Éclairage du stade de football;Mairie  - Rue de Paris - 54440 HERSERANGE;219-01;5000;;1243;;;;;;;;;;;;;;;;;;;;;
121;ACSFIRT;Fonctionnement;;224-02;3000;;267378;;;;;;;;;;;;;;;;;;;;;
122;ACSFIRT;Fonctionnement;;224-02;3000;;267506;;;;;;;;;;;;;;;;;;;;;
123;ACSSE - Association Culturelle Sportive et Sociale d'Ergersheim;Fonctionnement;;224-02;1000;;266774;;;;;;;;;;;;;;;;;;;;;
124;ACT;aide à l'intervention auprès de la Mission locale de Blaye;BP 10 place St Christoly 33000 Bordeaux;102-02;1000;;2430;;;;;;;;;;;;;;;;;;;;;
125;Acta Johannis;Fonctionnement;;224-02;3500;;1931;;;;;;;;;;;;;;;;;;;;;
126;Acte 2 Théâtre;fonctionnement;32 quai Arloing - 69009 Lyon;131-01;7000;;334755;;;;;;;;;;;;;;;;;;;;;
127;Actifs Pitchoun;Fonctionnement;;106-03;1000;;951;;;;;;;;;;;;;;;;;;;;;
128;Action 15 Balard;Fonctionnement;;224-02;3000;;1521;;;;;;;;;;;;;;;;;;;;;
130;Action Jeune;Création d'un module de formation et de concours BAFA à destination des jeunes de la Porte de St Ouen et de la Porte de Clichy en situation d'insertion;2, rue Saint Just 75017 Paris;163-02;9000;;267965;;;;;;;;;;;;;;;;;;;;;
131;Action Sociale Mulatine;Fonctionnement;;177-11;5000;;2801;;;;;;;;;;;;;;;;;;;;;
132;Action XV Balard;Organisation d'un tournoi intergénérationnel;Mme Hujah CEESAY - 138 avenue Félix Faure – Bât. C - 75015 - Paris;219-01;2000;;230329;;;;;;;;;;;;;;;;;;;;;
133;Active ton potentiel ;Fonctionnement;;219-01;3500;;1931;;;;;;;;;;;;;;;;;;;;;
134;Ad Libitum;Fonctionnement;Chemin Combe du Moulin  - 38210 Cras;224-02;2000;;606910;;;;;;;;;;;;;;;;;;;;;
135;ADAC Montorgueil;Fonctionnement;;134-02;3000;;1931;;;;;;;;;;;;;;;;;;;;;
136;ADACAR de l’Alta Rocca ;Fonctionnement;;224-02;2000;;267689;;;;;;;;;;;;;;;;;;;;;
137;ADAFE;Fonctionnement;;224-02;3000;;2952;;;;;;;;;;;;;;;;;;;;;
138;ADAPA DU CONFOLENTAIS;Acquisition matériel pour livraison repas à domicile;Allée des Frêniers - BP63 16500 CONFOLENS ;157-05;2500;;1809;;;;;;;;;;;;;;;;;;;;;
139;ADAPEI - Esat Les Iris;Fonctionnement;;102-02;20000;;607193;;;;;;;;;;;;;;;;;;;;;
140;ADAPEI du Pays de Montbéliard;Fonctionnement;;157-01;5000;;267576;;;;;;;;;;;;;;;;;;;;;
141;ADAPIC;Concourir par tous moyens au développement de l'apiculture en Picardie;19, bis rue Alexandre Dumas  - 80096 Amiens cedex 3;217-01;1000;;609520;;;;;;;;;;;;;;;;;;;;;
142;ADATE – Migration Equité Interculturalité;Publication de la revue écarts d'identité;Madame Gisèle PEREZ - 5 place Sainte-Claire - 38000 GRENOBLE;224-02;3000;;332384;;;;;;;;;;;;;;;;;;;;;
143;ADCLJC ;Mise en place d'un dispositif d'accompagnement à l'insertion professionnelle pour des jeunes de 16 à 25 ans,soumis à des obligations dans le cadre d'un controle judiciaire ou un sursis mis à l'épreuve dans la Zone de sécurité prioritaire de la Goutte d'or-Château Rouge.;76 rue Philippe de Girard - 75018 Paris;182-03;15000;;2859;;;;;;;;;;;;;;;;;;;;;
144;ADCPG-CATM ;acquisition de matériel;Hôtel de ville  - 76530 Grand Couronne;113-07;3000;;642987;;;;;;;;;;;;;;;;;;;;;
145;ADEF Association de Développement des Emplois Familiaux;Fonctionnement;;204-11;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
146;ADELI;;312 rue de l'Industrie 64500 SAINT-JEAN-DE-LUZ;113-07;2000;;608276;;;;;;;;;;;;;;;;;;;;;
147;ADEPAPE;Fonctionnement;;106-03;2000;;267378;;;;;;;;;;;;;;;;;;;;;
148;ADESCA;Fonctionnement;38, rue Salvador Allende - 93400 Saint-Ouen;;10000;;1886;;;;;;;;;;;;;;;;;;;;;
149;Ad'hoc Production;Favoriser l'expression citoyenne de proximité;Maison d'école   - 30140 Tornac;313-03;6000;;606258;;;;;;;;;;;;;;;;;;;;;
150;ADICOME;Fonctionnement;Le Mail bat E - 12 rue des Gardians - 13014 Marseille;224-02;2000;;330613;;;;;;;;;;;;;;;;;;;;;
151;ADIEU VAT;Dépenses équipements sportifs;Fond de curé             97137 Terre-de-Haut;219-01;5000;;643145;;;;;;;;;;;;;;;;;;;;;
152;ADIF 79;actionspour la mémoire de la déportation résistante;Les Iles 79410 Echiré;163-02;3000;;345994;;;;;;;;;;;;;;;;;;;;;
153;ADIRA;Fonctionnement;Les Brunes  - 12340 - Bozouls;157-01;1000;;267266;;;;;;;;;;;;;;;;;;;;;
154;Adis;Développement par l'intégration solidaire ;22, rue des Tilleuls - 44880 Sautron;304-13;4000;;332747;;;;;;;;;;;;;;;;;;;;;
155;Aditus;Fonctionnement;5, rue Taylor  - 75010 Paris;177-11;2000;;608920;;;;;;;;;;;;;;;;;;;;;
156;ADMR;Fonctionnement;;157-05;3000;;334149;;;;;;;;;;;;;;;;;;;;;
157;ADMR;Fonctionnement;;157-05;10000;;606693;;;;;;;;;;;;;;;;;;;;;
158;ADMR;Fonctionnement;;106-03;1000;;2345;;;;;;;;;;;;;;;;;;;;;
159;ADMR;Renouvellement et achat de matériel informatique;Grand Place du Marché - 04240 ANNOT;157-05;4000;;2693;;;;;;;;;;;;;;;;;;;;;
160;ADMR BUZANCY;Fonctionnement;;157-05;1000;;2952;;;;;;;;;;;;;;;;;;;;;
161;ADMR de Corps;action de maibntien à domicile;;157-05;3000;;342415;;;;;;;;;;;;;;;;;;;;;
162;ADMR Les 3 vallées;Fonctionnement;;157-05;1000;;267429;;;;;;;;;;;;;;;;;;;;;
163;ADMR Nérac;Subvention (achat véhicule);12 rue François Baudy - 47600 NERAC;157-05;5000;;607283;;;;;;;;;;;;;;;;;;;;;
164;ADMR Portes de l'Isère;Fonctionnement;;157-05;1000;;2250;;;;;;;;;;;;;;;;;;;;;
165;ADMR SEDAN;Fonctionnement;;157-05;1000;;2952;;;;;;;;;;;;;;;;;;;;;
166;ADOC 94;Fonctionnement;;204-14;3000;;1630;;;;;;;;;;;;;;;;;;;;;
167;ADOCCE 28;aide au fonctionnement : activités culturelles,  pédagogiques ...;28000 Chartes;;1500;;331582;;;;;;;;;;;;;;;;;;;;;
168;ADOS;Développer l'accueil du soir pour un public jeune mixte de 12 à 17 ans ;26 rue Polonceau - 75018 Paris ;163-04;15000;;2859;;;;;;;;;;;;;;;;;;;;;
169;ADP - Chapelle de l'Agneau de Dieu;réfection de l'orgue;2, place Henri Frenay 75012 Paris;224-02;10000;;543;;;;;;;;;;;;;;;;;;;;;
170;ADPC 83 (Association Départementale Protection Civile);Fonctionnement;;128-02;3000;;267378;;;;;;;;;;;;;;;;;;;;;
171;ADPEIBA;Fonctionnement;;157-01;1000;;606478;;;;;;;;;;;;;;;;;;;;;
172;ADPPS;Achat de matériel sportif; Mme SCHARTIER - 5 rue de l'Harmonie - 75015 - Paris;219-01;1500;;230329;;;;;;;;;;;;;;;;;;;;;
173;ADRASEC;Fonctionnement;;128-02;1000;;267204;;;;;;;;;;;;;;;;;;;;;
174;ADSF;Fonctionnement;;169-03;1000;;267148;;;;;;;;;;;;;;;;;;;;;
175;Advocacy Basse Normandie ;Fonctionnement;;204-11;3000;;1198;;;;;;;;;;;;;;;;;;;;;
176;AEIM;Parcours sensoriel pour les personnes en situation de handicap mental;AEIM-ADAPEI54 - A l'attention de Mme Coralie VINCENT - 6, Allée de Saint-Cloud - CS 90154 - 54 602 VILLERS-LES-NANCY;157-01;10000;;333335;;;;;;;;;;;;;;;;;;;;;
177;AEP NDC Montparnasse Rencontres;Soutenir et favoriser les actions ou activités d’Education Populaire;75014 Paris;163-02;2000;;609016;;;;;;;;;;;;;;;;;;;;;
178;AEPB;Fonctionnement;;163-02;7000;;609365;;;;;;;;;;;;;;;;;;;;;
179;Aero Club;Fonctionnement;;219-01;1000;;2250;;;;;;;;;;;;;;;;;;;;;
180;AERO CLUB d'Issoudun;Organisation des 7ème Championnats du Monde de Vol à Voile Féminins en 2013;Aérodrome Le Fay - 36100 ST AUBIN;219-01;4000;;606745;;;;;;;;;;;;;;;;;;;;;
181;Aéroclub de Crépy Feigneux;Fonctionnement;;219-01;1000;;1031;;;;;;;;;;;;;;;;;;;;;
182;Aéroclub de Valberg;Fonctionnement;;219-01;2000;;267680;;;;;;;;;;;;;;;;;;;;;
183;Aéroclub du Haut-Bugey;Fonctionnement;;219-01;1000;;605036;;;;;;;;;;;;;;;;;;;;;
184;AFAC ;Permanences d'écrivain public à la Maison d'Arrêt de Seysses;6 impasse Château de la Reynerie  - Apt 252,  - 31000 Toulouse;224-02;2000;;331753;;;;;;;;;;;;;;;;;;;;;
185;AFAV;Connaître et faire connaître les cultures françaises et africianes, intégration;91170 Viry Châtillon;104-12;2500;;610002;;;;;;;;;;;;;;;;;;;;;
186;AFBTAR Tel-Aviv;Equipement médical et technique pour des enfants handicapés ;43/11 rue Shimon Hatarsi, 62492 Tel-Aviv, Israël;151-01;21320;;610954;;;;;;;;;;;;;;;;;;;;;
187;AFC Perpignan;projet éducatif;HLM Champs de Mars,  - bât 7 esc2 appt 371  - 66000 Perpignan;219-01;4000;;608310;;;;;;;;;;;;;;;;;;;;;
188;AFCM;Action insertion Femmes des quartiers;2 rue Christophe Colomb - 37000 TOURS;137-14;10000;;332305;;;;;;;;;;;;;;;;;;;;;
189;AFDI Bretagne;Coopération internationale entre agriculteurs;Maison de l'Agriculture, Technopole Atalante Champeaux , -  rue Maurice Le Lannou  - 35042 Rennes cedex;209-02;1000;;607619;;;;;;;;;;;;;;;;;;;;;
190;AFFE;Projets d'éducation à l'image à destination des jeunes.;Hôtel de ville  - BP81  - 63150 La Bourboule;163-02;3000;;608186;;;;;;;;;;;;;;;;;;;;;
191;AFICH;Organisation du Festival Cinespana;10, rue jean Rancy - 31000 TOULOUSE;224-02;40000;;331807;;;;;;;;;;;;;;;;;;;;;
192;Aficio Catalana;Organisation du festival des Festibanyes;3, place de la République  - 66110 Amélie-les-Bains;175-04;1500;;608348;;;;;;;;;;;;;;;;;;;;;
193;AFLO D'Odratzheim;Fonctionnement;;224-02;1000;;266774;;;;;;;;;;;;;;;;;;;;;
194;AFN du Mont-Saxonnex ;Fonctionnement;;169-03;1000;;267527;;;;;;;;;;;;;;;;;;;;;
195;AFN Marnaz-Vougy ;Fonctionnement;;169-03;1000;;267527;;;;;;;;;;;;;;;;;;;;;
196;AFNOL - Association des Familles du Nord-Ouest de Lille;Fonctionnement;;106-03;1000;;1001;;;;;;;;;;;;;;;;;;;;;
197;AFPFES;Fonctionnement;;232-04;1000;;267591;;;;;;;;;;;;;;;;;;;;;
198;AFSA FOOT D'ARMENTIERES;Fonctionnement;;219-01;1000;;606299;;;;;;;;;;;;;;;;;;;;;
199;AFSNI Haïfa;Acquérir de l’équipement médical et technique pour des adultes et enfants handicapés;Ruth 28, 31 104 Haïfa, Israël;105-02;5053;;610954;;;;;;;;;;;;;;;;;;;;;
200;AFTC;Défense des droits moraux et matériels des victimes de traumatismes crâniens;17, rue de la Convention  - 25000 Besançon;157-04;2000;;605963;;;;;;;;;;;;;;;;;;;;;
201;AGEMLAM - Association Génération musicales de Lambersart;Fonctionnement;;219-01;1000;;1001;;;;;;;;;;;;;;;;;;;;;
202;Agence de mobilités du Nord-Isère;Fonctionnement;;203-15;2000;;2250;;;;;;;;;;;;;;;;;;;;;
