ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
4563;Commune de La Croix Blanche;Extension, rénovation et mise en conformité des locaux de la Mairie;886, Av des pyrénées – 47340 LA CROIX BLANCHE;122-01;14500;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
4564;Commune de LA CROIX COMTESSE ;Achat d'une motte féodale;Mairie - 16, rue des Chaumes - 17330 LA CROIX COMTESSE;122-01;6000;;331014;;;;;;;;;;;;;;;;;;;;;
4565;Commune de LA CROIX SUR ROULOULE;Rénovation des fenêtres de l'église;;122-01;2590;;267680;;;;;;;;;;;;;;;;;;;;;
4566;Commune de LA CROIX-EN-TOURAINE;Projet de restauration d'une œuvre d'art;;122-01;1000;;267459;;;;;;;;;;;;;;;;;;;;;
4567;Commune de LA CROIZET SUR GAND;Travaux de survitrage des vitraux de l'église;;122-01;5000;;2277;;;;;;;;;;;;;;;;;;;;;
4568;Commune de La Daguenière;Construction d'un plateau multisports à proximité de l'école;Hôtel de Ville- 70, rue Ligérienne 49800 LA DAGUENIERE;122-01;5000;;333043;;;;;;;;;;;;;;;;;;;;;
4569;Commune de La Désirade;Travaux d'intérêt local;;122-01;35000;;268042;;;;;;;;;;;;;;;;;;;;;
4570;Commune de La Ferrière Bochard;Aménagement sécuritaire du carrefour face à la mairie;;122-01;5000;;608011;;;;;;;;;;;;;;;;;;;;;
4571;Commune de La Ferrière Harang;Travaux de rénovation de la mairie;Le Bourg  - 14350 La Ferrière Harang;122-01;5000;;2828;;;;;;;;;;;;;;;;;;;;;
4572;Commune de LA FERRIERE-DE-FLEE;Réhabilitation de l'école publique;;122-01;10000;;1790;;;;;;;;;;;;;;;;;;;;;
4573;Commune de LA FERTE ALAIS;Réhabilitation du centre de loisirs aquarelle;;122-01;10000;;2086;;;;;;;;;;;;;;;;;;;;;
4574;Commune de La Ferté Hauterive;Travaux auberge des mûriers;4, rue du Bourg - 03340 La Ferté Hauterive;122-01;2000;;330118;;;;;;;;;;;;;;;;;;;;;
4575;Commune de La Ferté Macé;Travaux de rénovation de la Résidence du Val Vert;;122-01;12000;;608011;;;;;;;;;;;;;;;;;;;;;
4576;Commune de LA FERTE-SAINT-CYR;Informatisation de l'école;;122-01;1500;;2099;;;;;;;;;;;;;;;;;;;;;
4577;Commune de LA FONTENELLE;Aménagements de la rue des Sabotiers;;122-01;10000;;332228;;;;;;;;;;;;;;;;;;;;;
4578;Commune de LA FORESTIERE;Travaux visant à la sécurité incendie au hameau de la Chalmelle;;122-01;2831;;2098;;;;;;;;;;;;;;;;;;;;;
4579;Commune de La Fôret le Roi;Installation de poteaux de défense incendie;LA FORET LE ROI;122-01;5000;;609963;;;;;;;;;;;;;;;;;;;;;
4580;Commune de LA FORET SUR SEVRE;Aménagement divers;;122-01;10000;;336015;;;;;;;;;;;;;;;;;;;;;
4581;Commune de LA FOUILLADE;Aménagement du bourg-centre;Mairie - 12270 LA FOUILLADE;122-01;13000;;330546;;;;;;;;;;;;;;;;;;;;;
4582;Commune de LA FRANCHEVILLE;Réalisation travaux d'installation radars pédagogiques;;122-01;5000;;267260;;;;;;;;;;;;;;;;;;;;;
4583;Commune de LA FRETTE-SUR-SEINE;Mise en accessibilité de la salle Paulette Aragon (mise en place d'un élévateur pour accéder à la porte d'entrée, de nez de marche, bande tactile et contraste de marche, remplacmeent de la porte d'entrée par une porte tierce);55 QUAI DE SEINE      - 95530-LA FRETTE-SUR-SEINE;122-01;20000;;610521;;;;;;;;;;;;;;;;;;;;;
4584;Commune de LA GARDE;Opération de création de voies vertes sur la commune;;122-01;70000;;1483;;;;;;;;;;;;;;;;;;;;;
